Dataset name,Data Type,Task,Attribute type,No of instances,No of attributes,Year
Incident management process enriched event log,"Multivariate, Sequential","Regression, Clustering",Integer,141712,36,2019
Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
COVID-19 Surveillance,Multivariate,Classification,-,14,7,2020
Bitcoin Heist Ransomware Address,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",2916697,10,2020
Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009
Hungarian Chickenpox Cases,Time-Series,Regression,Real,521,20,2021
Leaf,Multivariate,Classification,Real,340,-,2014
Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,-,1993
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,15630426,6,2019
Perfume Data,"Univariate, Domain-Theory","Classification, Clustering",Integer,560,-,2014
Auction Verification,Tabular,"Classification, Regression",-,2043,7,2022
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,4178504,19,2015
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,-,2015
Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934,-,2014
Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series","Classification, Regression, Clustering",Real,35717,4,2019
Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,16,2013
Internet Firewall Data,Multivariate,Classification,-,65532,12,2019
MOVER: Medical Informatics Operating Room Vitals and Events Repository,"Tabular, Sequential, Multivariate, Time-Series","Classification, Regression, Clustering, Other",-,83468,-,2023
Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,-,-,2015
Chess (Domain Theories),Domain-Theory,-,-,-,-,-
Yacht Hydrodynamics,Multivariate,Regression,Real,308,-,2013
Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534,-,2019
UJIIndoorLoc,Multivariate,"Classification, Regression","Integer, Real",21048,-,2014
Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,-,2008
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77,-,2017
Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135,18,2018
Accelerometer Gyro Mobile Phone,"Tabular, Sequential, Multivariate, Time-Series",Classification,"Real, Categorical",31991,8,2022
Las Vegas Strip,-,"Classification, Regression",Integer,504,-,2017
GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016
Synchronous Machine,Multivariate,Regression,Real,557,5,2021
Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999
Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,-,2012
Gas sensor array temperature modulation,"Multivariate, Time-Series","Classification, Regression",Real,4095000,-,2019
Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,-,1997
Forty Soybean Cultivars from Subsequent Harvests,Tabular,"Classification, Regression, Clustering, Other","Real, Categorical, Integer",320,11,2023
Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,-,-
Cisco Secure Workload Networks of Computing Hosts,"Sequential, Text, Other","Clustering, Other",-,1000000,-,2022
Legal Case Reports,Text,Classification,-,-,-,2012
SoDA,Time-Series,Classification,-,1800,-,2022
CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series","Classification, Regression",Real,1985,84,2019
Turkiye Student Evaluation,Multivariate,"Classification, Clustering",-,5820,-,2013
Caesarian Section Classification Dataset,Tabular,Classification,Integer,80,-,2018
YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120000,1000000,2013
QSAR fish toxicity,Multivariate,Regression,Real,908,-,2019
Planning Relax,Univariate,Classification,Real,182,-,2012
News Aggregator,Multivariate,"Classification, Clustering",-,422937,-,2016
Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,45781,-,2013
Dresses_Attribute_Sales,Text,"Classification, Clustering",-,501,13,2014
Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000,-,2018
Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55,2020
Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232,2015
Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,-,2013
Madelon,Multivariate,Classification,Real,4400,-,2008
Wireless Indoor Localization,Multivariate,Classification,Real,2000,-,2017
